PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,san jose ca,,,,,,,,,
Location:,"SAN FRANCISCO, CA",,,,,,,,,
Lat (deg N):,37.62,,,,,,,,,
Long (deg W):,122.38,,,,,,,,,
Elev (m):,5,,,,,,,,,
DC System Size (kW):,200,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,37.3,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.14,,,,,,,,,
Capacity Factor (%),"18.0	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,4,20,0,0,11.7,6.7,0,11.7,0,0
1,4,21,0,0,11.7,8.2,0,11.7,0,0
1,4,22,0,0,11.7,8.2,0,11.7,0,0
1,4,23,0,0,11.7,6.7,0,11.7,0,0
1,5,0,0,0,11.7,7.2,0,11.7,0,0
1,5,1,0,0,11.7,4.6,0,11.7,0,0
1,5,2,0,0,11.7,6.7,0,11.7,0,0
1,5,3,0,0,11.7,5.7,0,11.7,0,0
1,5,4,0,0,11.7,5.2,0,11.7,0,0
1,5,5,0,0,11.7,4.1,0,11.7,0,0
1,5,6,0,0,11.1,3.1,0,11.1,0,0
1,5,7,0,8,10.6,3.6,6.927,9.096,1280.412,144.111
1,5,8,0,43,11.1,4.6,38.204,10.42,7021.469,5777.854
1,5,9,0,139,12.8,3.1,140.473,14.569,25345.771,23722.061
1,5,10,2,114,12.8,4.1,105.929,13.865,19172.242,17682.979
1,5,11,1,151,13.3,7.2,142.172,14.572,25651.887,24021.338
1,5,12,1,136,13.3,6.2,125.884,14.462,22724.238,21158.412
1,5,13,1,141,13.9,5.2,132.417,15.31,23812.588,22222.871
1,5,14,1,99,13.3,3.1,90.875,14.12,16428.811,14997.208
1,5,15,1,70,13.9,3.1,64.846,13.986,11728.079,10392.298
1,5,16,0,32,13.3,4.1,31.92,12.581,5810.691,4590.176
1,5,17,0,0,13.3,4.6,0,13.3,0,0
1,5,18,0,0,12.8,3.1,0,12.8,0,0
1,5,19,0,0,12.8,3.1,0,12.8,0,0
1,5,20,0,0,12.8,2.1,0,12.8,0,0
1,5,21,0,0,12.8,0,0,12.8,0,0
1,5,22,0,0,12.2,1.5,0,12.2,0,0
1,5,23,0,0,11.1,3.1,0,11.1,0,0
1,6,0,0,0,10.6,1.5,0,10.6,0,0
1,6,1,0,0,10,1,0,10,0,0
1,6,2,0,0,10,1.5,0,10,0,0
1,6,3,0,0,10,0,0,10,0,0
1,6,4,0,0,10,0,0,10,0,0
1,6,5,0,0,10.6,1.5,0,10.6,0,0
1,6,6,0,0,10,0,0,10,0,0
1,6,7,0,14,11.1,2.6,12.164,9.506,2244.521,1090.59
1,6,8,1,71,11.1,0,73.693,10.498,13534.395,12162.238
1,6,9,1,156,10.6,2.1,163.029,13.301,29581.195,27861.488
1,6,10,1,193,11.7,1.5,194.683,16.014,34899.168,33054.598
1,6,11,1,222,13.3,0,222.972,21.84,38920.477,36978.293
1,6,12,616,130,14.4,1.5,764.956,35.085,125261.57,120558.68
1,6,13,606,128,15,0,722.203,44.445,112710.773,108488.102
1,6,14,564,89,15,2.1,574.43,30.651,95679.508,92065.555
1,6,15,653,38,15.6,0,467.454,35.764,74659.172,71728.352
1,6,16,374,21,13.9,2.1,198.489,18.924,32570.039,30780.75
1,6,17,0,0,12.8,1,0,12.8,0,0
1,6,18,0,0,12.2,0,0,12.2,0,0
1,6,19,0,0,12.2,1.5,0,12.2,0,0
1,6,20,0,0,11.1,3.1,0,11.1,0,0
1,6,21,0,0,10.6,1.5,0,10.6,0,0
1,6,22,0,0,10,1,0,10,0,0
1,6,23,0,0,10.6,3.6,0,10.6,0,0
1,7,0,0,0,10.6,4.1,0,10.6,0,0
1,7,1,0,0,10,1.5,0,10,0,0
1,7,2,0,0,9.4,2.6,0,9.4,0,0
1,7,3,0,0,10,1.5,0,10,0,0
1,7,4,0,0,8.9,2.6,0,8.9,0,0
1,7,5,0,0,8.9,3.1,0,8.9,0,0
1,7,6,0,0,8.9,2.6,0,8.9,0,0
1,7,7,1,8,9.4,5.2,7.279,8.149,1342.541,205.108
1,7,8,6,48,9.4,1.5,46.894,8.526,8661.472,7386.169
1,7,9,10,108,9.4,3.1,109.781,10.406,20160.033,18649.693
1,7,10,10,173,10.6,1.5,177.984,14.182,32164.502,30384.742
1,7,11,10,232,11.7,0,243.054,20.882,42612.73,40578.488
1,7,12,5,248,12.2,1.5,256.56,18.679,45438.723,43332.453
1,7,13,6,182,11.7,0,182.139,19.275,32169.076,30389.209
1,7,14,3,168,11.7,0,170.622,18.071,30300.021,28563.719
1,7,15,1,107,11.7,0,108.749,15.35,19550.342,18053.029
1,7,16,0,35,11.7,1,35.388,10.925,6489.374,5255.941
1,7,17,0,1,11.1,2.1,0.898,9.192,165.883,0
1,7,18,0,0,11.7,0,0,11.7,0,0
