PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,phoenix az,,,,,,,,,
Location:,"PHOENIX, AZ",,,,,,,,,
Lat (deg N):,33.43,,,,,,,,,
Long (deg W):,112.02,,,,,,,,,
Elev (m):,339,,,,,,,,,
DC System Size (kW):,250,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,33.4,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.1,,,,,,,,,
Capacity Factor (%),"20.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,4,21,0,0,13.9,0,0,13.9,0,0
1,4,22,0,0,12.8,0,0,12.8,0,0
1,4,23,0,0,12.8,2.1,0,12.8,0,0
1,5,0,0,0,12.2,1.5,0,12.2,0,0
1,5,1,0,0,11.7,2.6,0,11.7,0,0
1,5,2,0,0,11.1,1.5,0,11.1,0,0
1,5,3,0,0,11.1,1.5,0,11.1,0,0
1,5,4,0,0,11.1,4.1,0,11.1,0,0
1,5,5,0,0,11.1,3.1,0,11.1,0,0
1,5,6,0,0,11.7,4.6,0,11.7,0,0
1,5,7,0,3,10.6,2.1,2.752,8.623,637.285,0
1,5,8,0,18,11.1,2.6,15.969,9.613,3681.591,2223.037
1,5,9,0,32,11.1,3.1,28.446,10.049,6545.626,5033.566
1,5,10,0,71,11.7,2.6,63.354,11.532,14483.292,12817.096
1,5,11,0,76,12.8,2.6,67.869,12.873,15423.447,13738.426
1,5,12,0,189,13.9,0,180.487,19.403,39825.563,37609.773
1,5,13,0,200,14.4,3.1,193.438,17.836,42989.441,40698.887
1,5,14,0,143,13.9,3.6,134.979,15.841,30269.805,28271.531
1,5,15,0,79,13.9,1.5,71.713,14.434,16183.976,14483.638
