Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 04/11  13:00:00,73.9683641281,7.58383645399,24.3672107063,0.0,18.7433767983,23.2517909448,35.4576674306,0.0,18.025,17.4326674306
 04/11  14:00:00,76.3149529112,7.76816563042,26.5294686496,0.0,18.7433767983,23.2517909448,29.6543594171,0.0,18.025,11.6293594171
 04/11  15:00:00,78.0150807214,7.92600242898,28.3617107362,0.0,18.7433767983,22.9618409725,35.460418052,0.0,18.025,17.435418052
 04/11  16:00:00,82.7927861344,8.00809647215,28.6060333716,0.0,18.7433767983,27.431320555,23.7810702395,0.0,18.025,5.75607023951
 04/11  17:00:00,94.9533426414,8.24898845047,28.3377261518,0.0,17.6635504202,40.6971502883,0.02,0.0,0.0,0.02
 04/11  18:00:00,101.131516633,8.37589122809,27.8848366236,0.0,27.5259009287,37.3340067412,11.5453634542,0.0,0.0,11.5453634542
 04/11  19:00:00,104.68387164,8.41918697287,27.1841942002,0.0,33.8341110165,33.3544677425,5.77120936336,0.0,0.0,5.77120936336
 04/11  20:00:00,117.767976208,8.50833681556,26.372991689,0.0,36.5179666069,38.8247702939,5.77067408708,0.0,0.0,5.77067408708
 04/11  21:00:00,110.079806173,8.40731113504,24.3013569355,0.0,32.965339924,36.8579353714,5.78644076934,0.0,0.0,5.78644076934
 04/11  22:00:00,80.6334224266,7.83196965088,18.9771096823,0.0,25.6355707503,20.6438685092,5.77540826238,0.0,0.0,5.77540826238
 04/11  23:00:00,56.4491240706,7.34513325936,14.8321514048,0.0,15.0252895274,11.7056064465,5.76004737034,0.0,0.0,5.76004737034
 04/11  24:00:00,48.8164418092,7.10444211413,12.4657779257,0.0,11.6412384099,10.0650221343,5.75510736526,0.0,0.0,5.75510736526
 04/12  01:00:00,45.5248895109,6.94268314448,10.8965752295,0.0,10.0992000411,10.047477231,0.02,0.0,0.0,0.02
 04/12  02:00:00,42.1690387589,6.7985417818,9.544418046,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 04/12  03:00:00,41.1992082134,6.7024613526,8.67066782121,0.0,8.25718729233,10.0299323277,5.7522525706,0.0,0.0,5.7522525706
 04/12  04:00:00,41.3924896645,6.58005995649,7.37987408363,0.0,8.25718729233,11.6354268332,0.0738172563993,0.0538172563993,0.0,0.02
 04/12  05:00:00,48.7927349501,6.55983649097,7.22105600674,0.0,12.1011305571,15.3678112995,5.76749557513,0.0,0.0,5.76749557513
 04/12  06:00:00,81.9554510335,7.02268598914,10.3932683749,0.0,19.7275818095,37.2640762949,11.5529162848,0.0,0.0,11.5529162848
 04/12  07:00:00,96.4751516468,7.39250392496,13.4755427667,0.0,24.3117294858,51.2795993405,11.5832782997,0.0,0.0,11.5832782997
 04/12  08:00:00,86.1207776543,7.04778753736,14.7402843732,0.0,23.6694662846,40.6342015617,17.5182363201,0.0,0.0,17.5182363201
 04/12  09:00:00,85.5757273463,7.14504583442,19.1049145123,0.0,23.6694662846,35.6302164847,35.508507035,0.0,18.025,17.483507035
 04/12  10:00:00,69.0828980604,7.11750637596,20.2360647915,0.0,18.7433767983,22.9618409725,35.4838605935,0.0,18.025,17.4588605935
 04/12  11:00:00,72.5314109561,7.37132062186,23.4327343487,0.0,18.7433767983,22.9618409725,35.460544637,0.0,18.025,17.435544637
 04/12  12:00:00,75.821869386,7.6186819163,26.4323837214,0.0,18.5889407304,23.1597249699,35.4597411647,0.0,18.025,17.4347411647
 04/12  13:00:00,78.7655334345,7.83532250293,28.9129032172,0.0,18.7433767983,23.2517909448,32.4472700309,0.0,18.025,14.4222700309
 04/12  14:00:00,81.1840818168,8.01396467063,31.1528108567,0.0,18.7433767983,23.2517909448,32.661857004,0.0,18.025,14.636857004
 04/12  15:00:00,82.1391333191,8.13757448974,32.274204607,0.0,18.7433767983,22.9618409725,35.4562079053,0.0,18.025,17.4312079053
 04/12  16:00:00,86.4120126247,8.19788512496,32.035487405,0.0,18.7433767983,27.431320555,18.045,0.0,18.025,0.02
 04/12  17:00:00,98.7597410517,8.45108887811,31.942035526,0.0,17.6635504202,40.6971502883,5.76232456569,0.0,0.0,5.76232456569
 04/12  18:00:00,106.007127065,8.64236058926,32.4940069997,0.0,27.5259009287,37.3340067412,11.5449412717,0.0,0.0,11.5449412717
 04/12  19:00:00,109.105235594,8.6783111204,31.346458076,0.0,33.8341110165,33.3544677425,5.77041530451,0.0,0.0,5.77041530451
 04/12  20:00:00,121.301106693,8.72413130595,29.6903500688,0.0,36.5179666069,38.8247702939,5.77047604851,0.0,0.0,5.77047604851
 04/12  21:00:00,113.062285158,8.59145209273,27.0997278605,0.0,32.965339924,36.8579353714,5.78628592551,0.0,0.0,5.78628592551
 04/12  22:00:00,82.2251678979,7.9529002199,20.4479559865,0.0,25.6355707503,20.6438685092,5.77492067982,0.0,0.0,5.77492067982
 04/12  23:00:00,57.1168320399,7.41343923684,15.4315620596,0.0,15.0252895274,11.7056064465,5.75989737558,0.0,0.0,5.75989737558
 04/12  24:00:00,49.7216479751,7.17297991688,13.3024675597,0.0,11.6412384099,10.0650221343,0.02,0.0,0.0,0.02
 04/13  01:00:00,46.1492823101,6.99572741057,11.4679240927,0.0,10.0992000411,10.047477231,5.75220306306,0.0,0.0,5.75220306306
 04/13  02:00:00,42.8438457927,6.85697913373,10.1608029157,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 04/13  03:00:00,41.1154438345,6.71094197062,8.57842804694,0.0,8.25718729233,10.0299323277,5.80282715746,0.0515381373243,0.0,5.75128902014
 04/13  04:00:00,41.2819915332,6.58317136293,7.26627867922,0.0,8.25718729233,11.6354268332,0.02,0.0,0.0,0.02
 04/13  05:00:00,48.4308985475,6.54233471591,6.87673889895,0.0,12.1011305571,15.3678112995,5.80978415152,0.0424163822854,0.0,5.76736776923
 04/13  06:00:00,81.9010954142,7.02151447369,10.340126579,0.0,19.7275818095,37.2640762949,5.78572102272,0.0,0.0,5.78572102272
 04/13  07:00:00,96.9943946483,7.42914129842,13.9581957395,0.0,24.3117294858,51.2795993405,11.5832211171,0.0,0.0,11.5832211171
 04/13  08:00:00,85.8975578992,7.0429642873,14.5219179739,0.0,23.6694662846,40.6342015617,23.3481133684,0.0,0.0,23.3481133684
 04/13  09:00:00,84.8763103501,7.11839910682,18.4321705426,0.0,23.6694662846,35.6302164847,35.5046011323,0.0,18.025,17.4796011323
 04/13  10:00:00,68.4122298092,7.08621546479,19.5967029554,0.0,18.7433767983,22.9618409725,35.4836249763,0.0,18.025,17.4586249763
 04/13  11:00:00,71.896503878,7.33638532605,22.8327736458,0.0,18.7433767983,22.9618409725,35.4593773345,0.0,18.025,17.4343773345
 04/13  12:00:00,76.0273130648,7.62420365559,26.6323165648,0.0,18.5889407304,23.1597249699,29.6530426915,0.0,18.025,11.6280426915
 04/13  13:00:00,79.6246486659,7.87613049278,29.7312234488,0.0,18.7433767983,23.2517909448,35.4581244842,0.0,18.025,17.4331244842
 04/13  14:00:00,82.424907769,8.08968472325,32.3179294227,0.0,18.7433767983,23.2517909448,35.4568203376,0.0,18.025,17.4318203376
 04/13  15:00:00,84.5086222491,8.2780347264,34.5032411806,0.0,18.7433767983,22.9618409725,29.6535945808,0.0,18.025,11.6285945808
 04/13  16:00:00,88.3287656439,8.32553077324,33.82460612,0.0,18.7433767983,27.431320555,23.7808021752,0.0,18.025,5.75580217518
 04/13  17:00:00,99.7969813903,8.53836577335,32.8920135308,0.0,17.6635504202,40.6971502883,5.76340568038,0.0,0.0,5.76340568038
 04/13  18:00:00,106.702274921,8.69421101344,33.1373483239,0.0,27.5259009287,37.3340067412,5.78217270783,0.0,0.0,5.78217270783
 04/13  19:00:00,110.233605029,8.70624133536,32.4469216916,0.0,33.8341110165,33.3544677425,5.77047130282,0.0,0.0,5.77047130282
 04/13  20:00:00,121.550231749,8.72380018066,29.9398306545,0.0,36.5179666069,38.8247702939,5.77050858193,0.0,0.0,5.77050858193
 04/13  21:00:00,112.279492487,8.53824336303,26.3701717311,0.0,32.965339924,36.8579353714,11.5513747821,0.0,0.0,11.5513747821
 04/13  22:00:00,82.0142742697,7.91060687688,20.2793798493,0.0,25.6355707503,20.6438685092,5.77472542174,0.0,0.0,5.77472542174
 04/13  23:00:00,57.6246572406,7.41668751105,15.9361638213,0.0,15.0252895274,11.7056064465,0.02,0.0,0.0,0.02
 04/13  24:00:00,49.8350271358,7.16844015548,13.4203908265,0.0,11.6412384099,10.0650221343,5.75599060263,0.0,0.0,5.75599060263
 04/14  01:00:00,46.3912337054,6.9994547462,11.7061654746,0.0,10.0992000411,10.047477231,0.02,0.0,0.0,0.02
 04/14  02:00:00,43.9095928639,6.89896415882,11.1845635542,0.0,8.25718729233,10.0299323277,5.75202257549,0.0,0.0,5.75202257549
 04/14  03:00:00,42.4807260215,6.79463473829,9.86003647229,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 04/14  04:00:00,42.6923381159,6.68837986452,8.57141885905,0.0,8.25718729233,11.6354268332,5.75568616789,0.0,0.0,5.75568616789
 04/14  05:00:00,49.6351887045,6.63801281864,7.98537616904,0.0,12.1011305571,15.3678112995,5.76678958582,0.0,0.0,5.76678958582
 04/14  06:00:00,82.1826703654,7.0544394805,10.5888137766,0.0,19.7275818095,37.2640762949,5.78595277306,0.0,0.0,5.78595277306
 04/14  07:00:00,96.5648135508,7.4104651282,13.5473389764,0.0,24.3117294858,51.2795993405,11.5821645598,0.0,0.0,11.5821645598
 04/14  08:00:00,85.1200700331,7.02176665408,13.7656607209,0.0,23.6694662846,40.6342015617,17.5150288771,0.0,0.0,17.5150288771
 04/14  09:00:00,83.5050981,7.07069639182,17.1086817547,0.0,23.6694662846,35.6302164847,41.3210974587,0.0,18.025,23.2960974587
 04/14  10:00:00,66.1007276242,6.99210672085,17.3793287246,0.0,18.7433767983,22.9618409725,29.669924495,0.0,18.025,11.644924495
 04/14  11:00:00,68.7252994273,7.19287497895,19.8050913976,0.0,18.7433767983,22.9618409725,35.4583147402,0.0,18.025,17.4333147402
 04/14  12:00:00,71.4588462865,7.39799185357,22.2900733097,0.0,18.5889407304,23.1597249699,35.4531883282,0.0,18.025,17.4281883282
 04/14  13:00:00,74.0016714421,7.58269729957,24.401689689,0.0,18.7433767983,23.2517909448,35.4520215204,0.0,18.025,17.4270215204
 04/14  14:00:00,75.9100559321,7.71667604985,26.1760963012,0.0,18.7433767983,23.2517909448,29.6502888899,0.0,18.025,11.6252888899
 04/14  15:00:00,75.5447683957,7.75456029457,26.0628765681,0.0,18.7433767983,22.9618409725,35.4538458,0.0,18.025,17.4288458
