Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly)
 01/03  24:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,0.0,0.0
 01/04  01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,0.0,0.0
 01/04  02:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,0.0,0.0
 01/04  03:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,0.0,0.0
 01/04  04:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,0.0,0.0
 01/04  05:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,0.0,0.0
 01/04  06:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836,1.797673824,0.0,0.0
 01/04  07:00:00,21.931631375,6.8246321674,0.0,0.0,1.8243253836,1.797673824,113.363846091,113.363846091
 01/04  08:00:00,21.5456146831,6.8246321674,0.0,0.0,7.2973015344,3.595347648,90.8662110306,90.8662110306
 01/04  09:00:00,31.3597443874,6.8246321674,0.0,0.0,18.243253836,6.291858384,67.1938465872,67.1938465872
 01/04  10:00:00,47.7520212802,6.8246321674,0.0,0.0,32.8378569048,8.089532208,34.6527223433,34.6527223433
 01/04  11:00:00,47.7520212802,6.8246321674,0.0,0.0,32.8378569048,8.089532208,25.9797051043,25.9797051043
 01/04  12:00:00,47.7520212802,6.8246321674,0.0,0.0,32.8378569048,8.089532208,13.7591510445,13.7591510445
 01/04  13:00:00,47.7520212802,6.8246321674,0.0,0.0,32.8378569048,8.089532208,3.04058250477,3.04058250477
 01/04  14:00:00,47.7520212802,6.8246321674,0.0,0.0,32.8378569048,8.089532208,0.0,0.0
 01/04  15:00:00,47.7520212802,6.8246321674,0.0,0.0,32.8378569048,8.089532208,0.0,0.0
