Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/27  05:00:00,48.6137715059,0.0,0.0,0.0,15.863942322,22.030085,6.08811984893,0.0,3.20568,2.88243984893
 08/27  06:00:00,44.340456071,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  07:00:00,40.0182791761,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  08:00:00,40.0839939426,0.0,0.0,0.0,15.863942322,22.030085,6.08941944562,0.0,3.20568,2.88373944562
 08/27  09:00:00,40.1481925106,0.0,0.0,0.0,15.863942322,22.030085,6.08930729734,0.0,3.20568,2.88362729734
 08/27  10:00:00,40.1759259396,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  11:00:00,40.8573001195,0.0,0.0,0.0,15.863942322,22.030085,6.0893949168,0.0,3.20568,2.8837149168
 08/27  12:00:00,40.2162427944,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  13:00:00,53.836011549,1.38744273418,12.1467780597,0.0,15.863942322,22.030085,6.08948425803,0.0,3.20568,2.88380425803
 08/27  14:00:00,65.562319809,2.70064219945,22.573746756,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  15:00:00,60.5313611418,2.27520193433,17.98750592,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  16:00:00,62.9060694487,2.56114697644,20.1036299394,0.0,15.863942322,22.030085,6.08815011596,0.0,3.20568,2.88247011596
 08/27  17:00:00,57.7047962675,2.02273498139,15.4835966604,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  18:00:00,55.6758697521,1.84012523198,13.6650096757,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  19:00:00,50.947279324,0.915574323579,6.77636291236,0.0,15.863942322,22.030085,6.08814121999,0.0,3.20568,2.88246121999
 08/27  20:00:00,48.8924428176,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  21:00:00,48.7163337632,0.0,0.0,0.0,15.863942322,22.030085,3.22568,0.0,3.20568,0.02
 08/27  22:00:00,48.509079084,0.0,0.0,0.0,15.863942322,22.030085,6.08810519203,0.0,3.20568,2.88242519203
