Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/03  05:00:00,35.4947792554,5.4950300226,2.44732919751,0.0,8.34152022915,11.6705166398,17.1848460431,11.4243896957,0.0,5.7604563474
 12/03  06:00:00,39.4856659239,5.47438436744,2.3005759302,0.0,8.80141237637,15.3678112995,17.264746643,11.4994456926,0.0,5.76530095045
 12/03  07:00:00,58.3758657626,5.56696448003,3.00564712027,0.0,18.5082010057,25.6353820695,17.508981011,11.7349924227,0.0,5.77398858826
 12/03  08:00:00,72.1726230975,5.92918935465,5.63751720466,0.0,19.4926561212,41.1001056674,21.4347119776,9.85624899068,0.0,11.578462987
 12/03  09:00:00,100.523001694,6.4989566587,9.66084346397,0.0,26.3286599382,57.9988325916,33.4278552557,4.0013150197,0.0,29.426540236
 12/03  10:00:00,83.9965939563,6.31076606826,8.59592235906,0.0,26.2443270014,42.8153538416,43.6775751937,2.21052625903,18.025,23.4420489347
 12/03  11:00:00,56.2463807327,5.81398877385,5.21702215278,0.0,21.7447113004,23.4437158914,44.7696542706,3.36101603541,18.025,23.3836382352
 12/03  12:00:00,52.8902179023,5.71368517287,4.36315269377,0.0,19.3449162599,23.4437158914,40.2621729023,4.72541498046,18.025,17.5117579219
 12/03  13:00:00,52.7350373092,5.67114446712,4.10830064859,0.0,19.190480192,23.7425572507,46.641834052,5.31844439884,18.025,23.2983896531
 12/03  14:00:00,52.6368023986,5.66427631751,3.99081226155,0.0,19.260583323,23.698576057,37.8623624553,2.35775053717,18.025,17.4796119182
 12/03  15:00:00,53.2333745801,5.73480696107,4.5168520881,0.0,19.260583323,23.698576057,36.4527999149,0.949549437035,18.025,17.4782504779
 12/03  16:00:00,52.2521071368,5.6528421875,3.90749870991,0.0,19.260583323,23.4086260847,38.5642609131,3.0623577206,18.025,17.4769031925
 12/03  17:00:00,59.8363456808,5.57906919103,3.34620130281,0.0,19.260583323,27.8781056672,29.2390172527,5.45377237688,18.025,5.76024487587
 12/03  18:00:00,73.2161917395,5.70735391518,4.20731161956,0.0,18.1807569449,37.5792895564,12.6668809541,6.90177175304,0.0,5.76510920111
 12/03  19:00:00,88.7429073667,5.93301694178,5.6148091487,0.0,32.6059821062,37.0465235296,16.6369475943,10.8668508491,0.0,5.77009674513
 12/03  20:00:00,90.2878433096,6.10439092297,6.75732782573,0.0,36.8143715336,33.066984531,17.0483329423,11.2687184101,0.0,5.77961453223
 12/03  21:00:00,97.0367587392,6.29607395633,7.95505913448,0.0,36.43363367,38.8072253906,18.6890285594,12.9103423932,0.0,5.77868616616
 12/03  22:00:00,94.3980799067,6.27394782787,7.6952147136,0.0,36.0963922311,36.7877557581,20.4801184815,14.7000422322,0.0,5.78007624925
 12/03  23:00:00,70.3122375368,5.90541354143,5.29811704827,0.0,30.9507766546,20.6087787026,26.8680971343,15.2896124287,0.0,11.5784847057
 12/03  24:00:00,45.2874675303,5.57570218047,3.03739991273,0.0,17.4250845679,11.7056064465,23.3811092913,17.6059468759,0.0,5.77516241539
 12/04  01:00:00,37.02407351,5.48828149528,2.28914668244,0.0,11.6412384099,10.0650221343,25.8721377556,20.111638436,0.0,5.7604993196
 12/04  02:00:00,35.0410610825,5.43614487559,1.91894552931,0.0,10.0992000411,10.047477231,26.1325078174,20.3769527228,0.0,5.75555509454
 12/04  03:00:00,32.8215438051,5.38902792954,1.60611005108,0.0,8.25718729233,10.0299323277,20.3828096501,20.3628096501,0.0,0.02
 12/04  04:00:00,32.6338852791,5.36426915245,1.44320328292,0.0,8.25718729233,10.0299323277,25.8423358228,20.0869547256,0.0,5.75538109718
 12/04  05:00:00,34.10497774,5.34678282845,1.32519753706,0.0,8.25718729233,11.6354268332,19.9987425075,19.9787425075,0.0,0.02
 12/04  06:00:00,41.8344497053,5.36513867455,1.45669091991,0.0,12.1011305571,15.3678112995,30.0020012042,18.4731544956,0.0,11.5288467086
 12/04  07:00:00,71.8478455002,5.67368200564,3.51734708097,0.0,19.7275818095,37.2640762949,22.3962626709,16.5963826766,0.0,5.79987999424
 12/04  08:00:00,86.9760267363,5.93838120121,5.42877052041,0.0,24.3117294858,51.2795993405,31.617150992,14.198436458,0.0,17.418714534
 12/04  09:00:00,73.8520214448,5.6666383895,3.85148247531,0.0,23.6694662846,40.6342015617,32.8279098562,9.38091281826,0.0,23.4469970379
 12/04  10:00:00,68.6571437691,5.62989186168,3.70062822554,0.0,23.6694662846,35.6302164847,49.2995942393,7.89335004147,18.025,23.3812441978
 12/04  11:00:00,50.41251991,5.5516283204,3.13092088366,0.0,18.7433767983,22.9618409725,42.7507464447,7.21227235116,18.025,17.5134740935
 12/04  12:00:00,49.7870343594,5.48237944652,2.57687952535,0.0,18.7433767983,22.9618409725,48.9676816787,7.63905952483,18.025,23.3036221538
 12/04  13:00:00,49.7960219716,5.46096851515,2.56383179667,0.0,18.5889407304,23.1597249699,42.1284576429,6.62376153703,18.025,17.4796961059
 12/04  14:00:00,50.0217189343,5.47627542356,2.52771784182,0.0,18.7433767983,23.2517909448,40.4294589554,4.9241511323,18.025,17.4803078231
 12/04  15:00:00,50.060432675,5.47967552713,2.56303052813,0.0,18.7433767983,23.2517909448,39.748111467,4.24605393427,18.025,17.4770575327
 12/04  16:00:00,49.9833300872,5.50586618868,2.7496871912,0.0,18.7433767983,22.9618409725,40.4838206784,4.98303181717,18.025,17.4757888612
 12/04  17:00:00,58.0597860308,5.48500148467,2.62770296519,0.0,18.7433767983,27.431320555,29.5394944876,5.75435657112,18.025,5.76013791646
 12/04  18:00:00,75.2021602284,5.64062440097,3.65825839071,0.0,17.6635504202,40.6971502883,13.122791555,7.35265119311,0.0,5.77014036186
 12/04  19:00:00,82.4581978366,5.74458386778,4.30564365787,0.0,27.5259009287,37.3340067412,23.627359411,12.0582117559,0.0,11.5691476551
 12/04  20:00:00,85.6698680564,5.8559814612,5.08053647676,0.0,33.8341110165,33.3544677425,18.3598862723,12.5797466972,0.0,5.78013957515
 12/04  21:00:00,95.1307723615,6.04183108671,6.20143437673,0.0,36.5179666069,38.8247702939,21.1224301298,15.343231888,0.0,5.77919824182
 12/04  22:00:00,89.754784873,6.0715429221,6.31080698516,0.0,32.965339924,36.8579353714,28.5050321802,16.9253022884,0.0,11.5797298918
 12/04  23:00:00,63.3948716995,5.69713673588,3.87242272982,0.0,25.6355707503,20.6438685092,28.7320504858,17.1833108642,0.0,11.5487396216
 12/04  24:00:00,42.1163646905,5.48018377874,2.36380470887,0.0,15.0252895274,11.7056064465,17.2529451921,17.2329451921,0.0,0.02
 12/05  01:00:00,36.3389462659,5.40144088777,1.69085696777,0.0,11.6412384099,10.0650221343,26.02271903,20.262214657,0.0,5.76050437307
 12/05  02:00:00,34.3778515523,5.3515138128,1.34036609021,0.0,10.0992000411,10.047477231,27.5231248689,21.7681476809,0.0,5.75497718805
 12/05  03:00:00,32.1561480063,5.30284189161,1.02689846992,0.0,8.25718729233,10.0299323277,24.2806943691,24.2606943691,0.0,0.02
 12/05  04:00:00,31.9595092709,5.27567240689,0.846369827052,0.0110527820449,8.25718729233,10.0299323277,31.1609201017,25.4054455283,0.0,5.7554745734
 12/05  05:00:00,33.5098643224,5.26382651105,0.726884808748,0.0861541278013,8.25718729233,11.6354268332,25.3805757805,25.3605757805,0.0,0.02
 12/05  06:00:00,41.1790211926,5.2704599412,0.726397647024,0.169540172274,12.1011305571,15.3678112995,31.6530372087,25.8777558029,0.0,5.77528140584
 12/05  07:00:00,70.7846930243,5.53315048727,2.57576865977,0.0189514912892,19.7275818095,37.2640762949,36.7863100874,25.2063420922,0.0,11.5799679952
 12/05  08:00:00,85.544950859,5.76572891124,4.17033819913,0.0,24.3117294858,51.2795993405,38.0906318621,20.671163058,0.0,17.419468804
 12/05  09:00:00,72.9089734916,5.55468039789,3.02038762171,0.0,23.6694662846,40.6342015617,34.6074525944,11.1604068033,0.0,23.4470457911
 12/05  10:00:00,68.6512597504,5.62572400293,3.69890764324,0.0,23.6694662846,35.6302164847,47.2593458867,5.85391187703,18.025,23.3804340096
 12/05  11:00:00,50.2413375294,5.51828689422,2.99307728892,0.0,18.7433767983,22.9618409725,39.6767791996,4.13773859601,18.025,17.5140406036
 12/05  12:00:00,50.0264210235,5.49451497382,2.80412869035,0.0,18.7433767983,22.9618409725,44.4917635111,3.1634746556,18.025,23.3032888555
